year,quarter,name,sales
2019,2,구로동로38길,4152103
2019,3,구로동로38길,3604276
2019,4,구로동로38길,4441052
2019,1,구로동로42길,10981492
2019,2,구로동로42길,13517028
2019,3,구로동로42길,12969484
2019,4,구로동로42길,10819743
2019,1,구로동로8길,7646288
2019,2,구로동로8길,6250852
2019,3,구로동로8길,2121246
2019,4,구로동로8길,6604981
2019,1,구로디지탈1단지,4178276389
2019,2,구로디지탈1단지,3982576984
2019,3,구로디지탈1단지,4960173285
2019,4,구로디지탈1단지,4446735142
2019,1,구로시장,2171907
2019,2,구로시장,1849057
2019,3,구로시장,1896017
2019,1,구로역,15684523
2019,2,구로역,17841018
2019,3,구로역,19578463
2019,4,구로역,12447620
2019,1,구로중앙로19길,337933330
2019,2,구로중앙로19길,328995753
2019,3,구로중앙로19길,340368364
2019,4,구로중앙로19길,265679146
2019,1,구로중앙로28길,42845913
2019,2,구로중앙로28길,48207074
2019,3,구로중앙로28길,53370805
2019,4,구로중앙로28길,45300810
2019,1,구로중앙로34길,934981
2019,3,구로중앙로34길,89046
2019,4,구로중앙로34길,5253699
2019,1,구로중앙로42길,1253231
2019,2,구로중앙로42길,3591731
2019,3,구로중앙로42길,2596899
2019,4,구로중앙로42길,2403101
2019,1,구로중앙로7길,217485074
2019,2,구로중앙로7길,349922996
2019,3,구로중앙로7길,364207708
2019,4,구로중앙로7길,290967215
2019,1,구암길,7849921
2019,2,구암길,6949026
2019,3,구암길,7491221
2019,4,구암길,7839554
2019,1,구천면로41길,36093274
2019,2,구천면로41길,36204890
2019,3,구천면로41길,52130806
2019,4,구천면로41길,67034931
2019,1,구천면로42길,78902510
2019,2,구천면로42길,85747076
2019,3,구천면로42길,94133176
2019,4,구천면로42길,93557921
2019,1,국사봉1길,93857319
2019,2,국사봉1길,50558614
2019,3,국사봉1길,227040675
2019,4,국사봉1길,227043361
2019,1,국사봉2길,15386562
2019,2,국사봉2길,21844922
2019,3,국사봉2길,25255707
2019,4,국사봉2길,20672428
2019,1,국사봉길,13879648
2019,2,국사봉길,9922673
2019,3,국사봉길,9917287
2019,4,국사봉길,12812420
2019,1,국회대로56길,192207530
2019,2,국회대로56길,221940023
2019,3,국회대로56길,240926123
2019,4,국회대로56길,169733160
2019,1,국회의사당역_1,446753754
2019,2,국회의사당역_1,634377876
2019,3,국회의사당역_1,603369605
2019,4,국회의사당역_1,592563142
2019,1,국회의사당역_2,2204591611
2019,2,국회의사당역_2,2528222263
2019,3,국회의사당역_2,2376384444
2019,4,국회의사당역_2,10074964320
2019,1,금남시장,1808511
2019,3,금남시장,1063830
2019,2,금하로14길,54031
2019,1,금하로1길,11148201
2019,2,금하로1길,15415207
2019,3,금하로1길,13694433
2019,4,금하로1길,8392872
2019,1,금하로24길,11019571
2019,2,금하로24길,18419949
2019,3,금하로24길,14997265
2019,4,금하로24길,13692163
2019,1,금호산2길,4777388
2019,2,금호산2길,7503725
2019,3,금호산2길,8501533
2019,4,금호산2길,6893952
2019,1,금호산길,32276534
2019,2,금호산길,34627478
2019,3,금호산길,40332359
2019,1,긴고랑로20길,60400318
2019,2,긴고랑로20길,60905084
2019,3,긴고랑로20길,62859835
2019,4,긴고랑로20길,74585610
2019,1,긴고랑로7길,45203166
2019,2,긴고랑로7길,55659731
2019,3,긴고랑로7길,69426195
2019,4,긴고랑로7길,33769488
2019,1,긴고랑로9길,98939710
2019,2,긴고랑로9길,126189015
2019,3,긴고랑로9길,129381410
2019,4,긴고랑로9길,79149244
2019,1,길동복조리시장,28857048
2019,2,길동복조리시장,17460330
2019,3,길동복조리시장,10177460
2019,4,길동복조리시장,33405836
2019,1,길음로7길,5051498
2019,2,길음로7길,9616105
2019,3,길음로7길,2495319
2019,1,까치산로4길,56117064
2019,2,까치산로4길,67341961
2019,3,까치산로4길,72789829
2019,4,까치산로4길,60657583
2019,1,까치산시장,163964726
2019,2,까치산시장,212288498
2019,3,까치산시장,152741657
2019,4,까치산시장,392281210
2019,1,낙성대시장,96255688
2019,2,낙성대시장,64065675
2019,3,낙성대시장,72453324
2019,4,낙성대시장,114000000
2019,1,낙성대역길,137435237
2019,2,낙성대역길,126651541
2019,3,낙성대역길,138012615
2019,4,낙성대역길,103586430
2019,1,난계로11길,158890078
2019,2,난계로11길,141100191
2019,3,난계로11길,185686353
2019,4,난계로11길,232201204
2019,1,난계로21길,774774
2019,2,난계로21길,3093093
2019,3,난계로21길,1219218
2019,1,난계로27길,194704234
2019,2,난계로27길,190809447
2019,3,난계로27길,215574829
2019,4,난계로27길,186978636
2019,1,난계로30길,31300229
2019,2,난계로30길,47021752
2019,3,난계로30길,43279173
2019,4,난계로30길,40198629
2019,3,난곡로26길,5774518
2019,4,난곡로26길,39000000
2019,1,난곡로34길,117057789
2019,2,난곡로34길,126830131
2019,3,난곡로34길,132127259
2019,4,난곡로34길,104309349
2019,1,난곡로74길,104206116
2019,2,난곡로74길,120246067
2019,3,난곡로74길,116131407
2019,4,난곡로74길,105860331
2019,1,난우길,100847762
2019,2,난우길,88576262
2019,3,난우길,105336649
